company_name,aliases,crunchbase_description,wikipedia_search,wikipedia_description,wikipedia_description_link,company_homepage,company_description,company_description_link,retrieval_date
stellex capital management lp,stellex capital management; stellex capital management llc; stellex,,https://en.wikipedia.org/wiki/Special:Search?search=stellex+capital+management+lp,,,http://www.stellexcapitalmanagement.com/,Stellex Capital Management is a private equity firm that invests in middle-market companies in North America and Europe through its offices in New York and London.,https://www.stellexcapital.com/,2021-03-15
btas inc,btas,,https://en.wikipedia.org/wiki/Special:Search?search=btas+inc,,,http://www.btas.com/,"In 1995, we began as a systems integrator for the U.S Air Force. Today we provide the Air Force Life Cycle Management Center, Air Force Space Command, Air Combat Command and the Naval Air Systems Command business technologies and solutions that revolutionize program performance. Our world-class, multi-disciplined teams are poised to support operations and partner with customers to re-engineer how talent and technology work together to meet thier mission. Our tools are familiar, innovative, appealing, and easy to use.",http://btas.com/index.php/about/,2021-03-15
odyssey systems consulting group ltd,"odyssey systems; odyssey systems consulting group, ltd.; odyssey",,https://en.wikipedia.org/wiki/Special:Search?search=odyssey+systems+consulting+group+ltd,,,www.odysseyconsult.com/n,"Odyssey Systems’ portfolio of successful projects demonstrates our ability to efficiently plan, staff, and manage efforts of all scopes and sizes. Our employees provide tailored functional expertise in technology, engineering, and management principles. We offer vast experience in acquisition strategy development and document generation; source selection support; cost, schedule, and performance management; systems engineering and analysis; risk management; cost/benefit and earned value analysis; computer-based training development; communication planning and operations; and lifecycle sustainment and product support. Odyssey also offers research and acquisition support services to the DoD medical domain, leading DoD medical mission support through several prime services contracts.",https://www.odysseyconsult.com/about-odyssey-systems/,2021-03-15
tge marketing & advisory corp.,tge marketing & advisory; tge,,https://en.wikipedia.org/wiki/Special:Search?search=tge+marketing+%26+advisory+corp.,,,https://www.tgemarketing.ca/,"We do the legwork to help you understand your customers and the marketplace. To help you understand customer motivations, their preferences and priorities. We take the guesswork out of making tough marketing decisions. And, we empower you to innovate based on strategic insight, not just intuition. Be a thought-leader.",https://www.tgemarketing.ca/insights/,2021-03-15
brighton cromwell llc,brighton cromwell,,https://en.wikipedia.org/wiki/Special:Search?search=brighton+cromwell+llc,,,https://brightoncromwell.com/,"Supply chain integrator providing a wide range of procurement, kitting, engineering, manufacturing and logistics services for air, land, and sea military system parts.",https://brightoncromwell.com,2021-03-15
amplify partners,amplify partners lp,,https://en.wikipedia.org/wiki/Special:Search?search=amplify+partners,,,http://www.amplifypartners.com/,Amplify is relentlessly focused on helping technical founders succeed -- founders with an unwavering vision for a better future and the courage to make it happen.,https://amplifypartners.com/why-amplify/,2021-03-15
coatue management,"coatue; coatue management llc; coatue management, l.l.c.",,https://en.wikipedia.org/wiki/Special:Search?search=coatue+management,"Coatue is a global technology-focused investment manager led by Founder and Portfolio Manager Philippe Laffont.
Coatue invests in both the public and private markets with a focus on technology, media, and telecommunications, as well as the consumer and healthcare sectors. Total assets under management amounted to more than $25 billion as of May 21, 2020.",https://en.wikipedia.org/wiki/Coatue_Management,http://coatue.com/,,,2021-03-15
walmart global ecommerce,walmart ecommerce,,https://en.wikipedia.org/wiki/Special:Search?search=walmart+global+ecommerce,"Walmart Inc. ( /ˈwɔːlmɑːrt/; formerly Wal-Mart Stores, Inc.) is an American multinational retail corporation that operates a chain of hypermarkets, discount department stores, and grocery stores from the United States, headquartered in Bentonville, Arkansas.[11] The company was founded by Sam Walton in 1962 and incorporated on October 31, 1969. It also owns and operates Sam's Club retail warehouses.[12][13] As of January 31, 2021, Walmart has 11,443 stores and clubs in 27 countries, operating under 56 different names.[2][3][14] The company operates under the name Walmart in the United States and Canada, as Walmart de México y Centroamérica in Mexico and Central America, as Asda in the United Kingdom, as the Seiyu Group in Japan, and as Flipkart Wholesale in India. It has wholly owned operations in Argentina, Chile, Canada, and South Africa. Since August 2018, Walmart holds only a minority stake in Walmart Brasil, which was renamed Grupo Big in August 2019, with 20 percent of the company's shares, and private equity firm Advent International holding 80 percent ownership of the company.",https://en.wikipedia.org/wiki/Walmart,https://corporate.walmart.com/galleries/ecommerce,,,2021-03-15
bmw,,,https://en.wikipedia.org/wiki/Special:Search?search=bmw,"Bayerische Motoren Werke AG, commonly referred to as BMW (German pronunciation: [ˈbeːˈʔɛmˈveː] (listen)), is a German multinational corporation which produces luxury vehicles and motorcycles. The company was founded in 1916 as a manufacturer of aircraft engines, which it produced from 1917 until 1918 and again from 1933 to 1945.",https://en.wikipedia.org/wiki/BMW,,,,2021-03-15
great wall motor company,,,https://en.wikipedia.org/wiki/Special:Search?search=great+wall+motor+company,"Great Wall Motors Company Limited is a Chinese automobile manufacturer headquartered in Baoding, Hebei. The company is named after the Great Wall of China and was formed in 1984. It is China's largest sport utility vehicle (SUV) and pick-up truck producer. It sells passenger cars and trucks under the Great Wall brand and SUVs under the Haval and WEY brands.",https://en.wikipedia.org/wiki/Great_Wall_Motors,,,,2021-03-15
mubadala investment co,mubadala investment company pjsc; u0634u0631u0643u0629 u0645u0628u0627u062fu0644u0629 u0644u0644u0627u0633u062au062bu0645u0627u0631,,https://en.wikipedia.org/wiki/Special:Search?search=mubadala+investment+co,,,https://www.mubadala.com/,Mubadala is a sovereign investor managing a diverse portfolio of assets in the UAE and abroad.,https://www.mubadala.com,2021-03-15
v3 markets,infinium capital management; v3 markets llc,,https://en.wikipedia.org/wiki/Special:Search?search=v3+markets,,,http://www.v3markets.com/,,,2021-03-15
